Minor planet designation,Rotation period(hours),Δmag,Quality(U),Orbit or family,Spectral type,Diameter(km),Abs. mag(H),Refs,Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,movie_name,category,run_time,genre,imdb_rating,votes,gross_total,rating,timestamp,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,Buying_Price,Maintenance_Price,No_of_Doors,Person_Capacity,Size_of_Luggage,Safety,Car_Acceptability,updateTime,per capita income,median household income,median family income,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,street,city,County,State,Season1Date,Season1Time,x,y,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Honey,Jams,Maple,Meat,PetFood,Tofu,WildHarvested,updateTime,Order Date,Product,Product_ean,Purchase Address,Quantity Ordered,Price Each,Cost price,turnover,margin,Cat_Sort,Category,varShort,varLong,Map,PopChangeRate1819,PopChangeRate1019,TotalPopEst2019,NetMigrationRate1019,NaturalChangeRate1019,Net_International_Migration_Rate_2010_2019,PopChangeRate0010,NetMigrationRate0010,NaturalChangeRate0010,Immigration_Rate_2000_2010,brand,model,offers/priceCurrency,features/0/description,country,ISO3,continent,Region 1,markup_GME,alpha,Q,II,VA,LAB,K,Subsidies,Taxes,Place, Latitude, Longitude, Country, Continent, Magnitude,title,published_at,view_count,like_count,comment_count,text,label,url,name,Price,listedOn,Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price
1573 Väisälä,252,0.76,2,Phocaea,S,9.77,12.3,LCDB  ·  List,AIV,Apartment Investment & Management,Real Estate,38.21,15.6,3.876562,1.95,46.855,38.85,6156884142,874871000,6.187621,4.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIV,AmÃ©lie,R,122 min,"Comedy, Romance",8.3,"759,411",$33.23M,3,835355532,25921089,3047,0,3000.447472,46.55252809,3047,0,0.179593257,0.015515195,med,high,2,more,small,low,unacc,6/29/2016 16:32,"$48,172 ","$109,865 ","$128,657 ",A + Organic Farmers Market,http://organicgrowndirect.com/,https://www.facebook.com/OrganicProduceDelivery,https://twitter.com/OrganicGrownDr,http://www.youtube.com/user/OrganicGrownDirect,http://organicgrowndirect.com/shop,Lee Rd. Farm,Boynton Beach ,Palm Beach,Florida,,,-80.221054,26.489351,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,9/29/2014 13:37,02/01/2019 16:16,Flatscreen TV,8.63E+12,"68 Hickory St, Seattle, WA 98101",1,300,99,300,201,1,People,ForeignBornEuropeNum,"Number of persons born in Europe, 2015-19",n,-1.238,-8.321,23622,-7.56,-0.761,-0.07,-7.3,-8.65,1.96,0.161759948,ASUS,Q540VJ-I93050,USD,Windows 11 has all,DR Congo,COD,Africa,Middle Africa,1.7998236,1.0543656,421100.1559,237901.9079,183198.248,26466.98,19271.177,-3065.907,3463.788,Bissau,11.8634,-15.5822, Guinea-Bissau, Africa,4.8,ÐšÐ°Ñ…Ð° - Ñ‚Ð¾Ñ€Ð¼Ð¾Ð·!  #Ð½ÐµÐ¿Ð¾ÑÑ€ÐµÐ´ÑÑ‚Ð²ÐµÐ½Ð½Ð¾ÐºÐ°Ñ…Ð°,2024-01-31T09:00:03Z,9620816,511603,723,i have wished her the best and i truly feel as though i am sincere about this,1,https://www.etsy.com/listing/1144206627/space-thank-you-card-instant-download?click_key=e668055879860c605c31c7b5aeef0e650eb5d4a0%3A1144206627&click_sum=f573ca00&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-9-1&organic_search_click=1&pro=1&dd=1,"SPACE Thank you card instant download, Space baby shower, Outer space birthday party thank you galaxy planets rockets star blast off blue",$3.30,"Jan 15, 2024",Ultimus,NU14U3INC43BN-MB,Celeron Dual Core,Windows 11 Home,128 GB,4 GB,35.81 cm (14.1 Inch),No,"â‚¹11,990"
(119745) 2001 YU44,251.3,0.3,2,MBA (inner),S,2.44,15.43,LCDB  ·  List,AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,9.2,180.1,131.12,8.10E+11,79386000000,3.4586093,5.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL,Modern Times,G,87 min,"Comedy, Drama, Romance",8.5,"244,162",$0.16M,4,835356044,25921089,3067,1,2941.647472,125.3525281,3066,0.003857863,0.483592831,0.042613035,med,high,2,more,small,med,unacc,6/23/2017 8:02,"$47,984 ","$81,946 ","$105,341 ",A Growers' Market,,,,,,229 Lake Ella Drive,Tallahassee ,Leon,Florida,01/01/2018 to 12/31/2018,Wed: 12:00 PM-6:00 PM;Sat: 11:00 AM-3:00 PM;,-84.279877,30.461952,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,7/29/2018 12:47,29/01/2019 18:30,Wired Headphones,8.51E+12,"462 1st St, Los Angeles, CA 90001",1,11.99,5.995,11.99,5.995,1,People,ForeignBornEuropeNum,"Number of persons born in Europe, 2015-19",n,-0.444,-4.77,13235,-2.151,-2.619,-0.065,-2.26,-3.67,-1.38,0.483769193,HP,11-ak0053dx,USD,Experience the m,Ecuador,ECU,South America,South America,1.9660469,1.0190758,3904274.714,1710722.964,2193551.75,377614.5,1439585,-4062.41,8004.56,Bogota,4.7123,-74.0697, Colombia, South America,4.7,nand ki beti | Zaroorat Rishta House | #viralvideos #ytshorts #ytshortsindia #desi #yt #desi #viral,2024-02-06T07:00:00Z,9078284,351892,2152,i would want to thank them for letting my heart feel the lovely phenomenon for the first time,2,https://www.etsy.com/listing/1034055467/kids-name-necklace-personalized-necklace?click_key=cc7dad919460ca19fdff90eb4afb846433b63ece%3A1034055467&click_sum=553d7d3e&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-9-3&pro=1&frs=1&bes=1,"Kids Name Necklace, Personalized Necklace, Baby Necklace, Baby Gift, Silver, Rose Gold and Gold, XW10",$18.16+,"Feb 10, 2024",Acer,A715-76G,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"â‚¹57,990"
(51238) 2000 JT34,250.6,0.42,2,MBA (outer),C,9.59,13.82,LCDB  ·  List,AMAT,Applied Materials Inc,Information Technology,45.75,14.08,0.8215239,3.17,60.89,34.58,51296481503,4336000000,4.7020154,5.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT,Lost in Translation,R,102 min,"Comedy, Drama",7.7,"458,613",$44.59M,2,835355551,25921089,2987,0,2947.497191,39.50280899,2987,0,0.15239641,0.013402153,med,high,2,more,small,high,unacc,8/19/2016 16:07,"$47,803 ","$99,020 ","$117,393 ",AAMC Farmers's Market,,,,,,"2001 Medical Parkway, Sajak Pavilion",Annapolis,Anne Arundel,Maryland,,,-76.612297,39.006001,N,N,N,N,N,-,,,,,,,,,,,,,7/23/2011 23:54,14/01/2019 14:13,AAA Batteries (4-pack),2.48E+12,"447 Cedar St, Seattle, WA 98101",3,2.99,1.495,8.97,4.485,1,People,TotalPopEst2012,Population size 7/1/2012,n,-0.666,-0.626,14910,-0.087,-0.54,-0.44,6.01,4.17,0.65,0.864380469,Lenovo,82V60065US,USD,Windows 11,Egypt,EGY,Africa,Northern Africa,0.89378268,0.71540272,5613309.008,4511507.773,1101801.235,90145.1,198173.93,-8902.645,65313.28,Vladivostok,43.1766,132.0081, Russia, Asia,5.2,BROMA A MIS HERMANOS #fyp #stitch #comedia #larin #alfredolarin #rouforyou,2024-01-24T12:39:43Z,8760569,257176,323,i was feeling lousy and wondering if i d be able to keep up with the vlcd part of the hcg cycle,0,https://www.etsy.com/listing/1511499880/kids-kitchen-tower-3in1-learning-step?click_key=a08ee3ad1dbd9bc850bfadc0932299e68431b484%3A1511499880&click_sum=b2ce1387&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-9-2&pro=1&frs=1&sts=1,Kids kitchen tower 3in1 learning step stool desk slide montessori furniture helper tower foldable,$156.62+,"Feb 9, 2024",HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹46,990"
6169 Sashakrot,250.1,0.39,2,MBA (outer),C,12.22,13.29,LCDB  ·  List,APTV,Aptiv Plc,Consumer Discretionary,89.27,69.74,0.9392678,5.05,96.91,82.97,24906530300,2370000000,1.5025798,7.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV,Full Metal Jacket,R,116 min,"Drama, War",8.3,"745,546",$46.36M,1,835355918,25921089,3029,0,2996.922051,32.07794944,3029,0,0.123752322,0.010703632,med,high,2,more,med,low,unacc,6/30/2016 19:50,"$47,331 ","$85,478 ","$92,500 ",Abbeville Farmers Market,,,,,,118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,06/06/2013 to 10/04/2013,Thu: 4:00 PM-8:00 PM;Fri: 7:00 AM-12:00 PM;,-82.380241,34.177429,Y,N,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,07/11/2013 13:41,02/01/2019 20:33,27in 4K Gaming Monitor,3.43E+12,"505 Hickory St, Dallas, TX 75001",1,389.99,128.6967,389.99,261.2933,1,People,TotalPopEst2012,Population size 7/1/2012,n,0.755,4.25,52342,2.235,2.016,1.562,14.52,10.39,3.1,0.733134465,Lenovo,82LM00UEUS,USD,8GB Soldered DDR4-3200,El Salvador,SLV,North America,Central America,1.6425205,1.107394,553587.9738,374374.9399,179213.0339,25936.51,18696.701,-1846.1291,3359.072,Yamoussoukro,6.8182,-5.2751, CÃ´te d'Ivoire, Africa,4.8,Chikir jonno boro vai dolna banalo#funny #facts,2024-02-09T02:35:00Z,8710358,,56,i feel so much more intelligent now,1,https://www.etsy.com/listing/1593426253/toddler-busy-board-1-year-oldbusy?click_key=7db6453064db0c8f2db315e13101d3f0774c0da7%3A1593426253&click_sum=bae0751f&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-9-1&pro=1&frs=1&cns=1,"Toddler busy board 1 year old,Busy boards,First Birthday Gift Baby,Montessori busy board,Busy board baby,Fast Free Shipping,Busy board kids",$94.50+,"Oct 22, 2023",HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"â‚¹53,990"
824 Anastasia,250,1.2,3−,MBA (outer),S,34.14,10.41,LCDB  ·  List,ADM,Archer-Daniels-Midland Co,Consumer Staples,41.35,17.45,3.1761081,2.17,47.44,38.59,23594770663,2927000000,0.52478915,1.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM,Requiem for a Dream,R,102 min,Drama,8.3,"845,362",$3.64M,3,835355492,25921089,2950,0,2988.088717,-38.08871723,2950,0,-0.146941038,-0.01274685,med,high,2,more,big,med,acc,03/02/2015 10:46,"$46,565 ","$122,238 ","$133,550 ",ABBEVILLE FARMERS MARKET,,https://www.facebook.com/pages/Abbeville-Farmers-Market/234180039938887,,,,Kirkland Street,Abbeville ,Henry,Alabama,06/06/2014 to 07/25/2014,Fri: 3:00 PM-6:00 PM;,-85.250366,31.571272,Y,N,N,N,N,-,,,,,,,,,,,,,04/05/2014 19:27,31/01/2019 8:38,Bose SoundSport Headphones,8.93E+12,"386 Elm St, San Francisco, CA 94016",1,99.99,49.995,99.99,49.995,1,People,ForeignBornAfricaPct,"Percent of persons born in Africa, 2015-19",n,0.431,1.315,55241,2.914,-1.599,0.781,-1.01,0.28,-0.38,0.4018401,Lenovo,T470,USD,Built for business. Protect yo,Eritrea,ERI,Africa,Eastern Africa,1.9222721,0.98688424,24758.98503,13469.20344,11289.78159,1647.534,1176.1683,-120.61527,211.43256,Banjul,13.4532,-16.5895, Gambia, Africa,5.7,Bus taking u turn #factsintamil ðŸ˜±à®…à®¤à®¿à®°à¯à®·à¯à®Ÿà®µà®šà®®à®¾à®• à®¤à®ªà¯à®ªà®¿à®©à®¾à®°à¯ðŸ˜± #amazingfacts #touchfacts #shorts,2024-02-06T09:00:02Z,8239508,94752,132,i feel distraught and completely tormented every time my phone goes off i hope,4,https://www.etsy.com/listing/1474067234/mom-and-baby-svg-floral-mom-svg-mother?click_key=eff83c608e3a09a2e9eea6c3737fb3ba4c12f522%3A1474067234&click_sum=c32c09d9&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-10-1&organic_search_click=1&pro=1&dd=1,"Mom and Baby svg, Floral Mom svg, Mother svg, Baby Silhouette, Files for Cricut",$2.16,"Feb 9, 2024",Acer,AN515-58,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),No,"â‚¹89,990"
6271 Farmer,250,0.22,2,Hungaria,E,4.62,13.6,LCDB  ·  List,ARNC,Arconic Inc,Industrials,24.45,20.21,0.9561753,-0.21,31.17,21.755,12123300000,1517000000,0.94214815,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARNC,Fight Club,R,139 min,Drama,8.8,"2,128,902",$37.03M,4,835355441,25921089,3148,0,2963.588717,184.4112828,3148,0,0.711433392,0.062225666,med,high,2,more,big,high,acc,3/24/2015 14:29,"$46,457 ","$80,761 ","$82,500 ",Abbotsford Farmers Market,,,,,,1011 East Spruce St.,Abbotsford,Clark,Wisconsin,May to October,Tue:1:30 PM - 5:30 PM;,-90.307144,44.945663,N,Y,N,Y,N,-,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,05/07/2012 10:47,19/01/2019 8:17,Macbook Pro Laptop,3.96E+12,"789 Washington St, Los Angeles, CA 90001",1,1700,561,1700,1139,1,People,ForeignBornAfricaPct,"Percent of persons born in Africa, 2015-19",n,-1.83,-8.832,12067,-6.392,-2.44,0.053,-6.11,-8.24,-0.09,0.249376559,Microsoft,RKL-00001,USD,Find the relevant informatio,Estonia,EST,Europe,Northern Europe,1.3229376,0.96949929,486162.0666,291534.8925,194627.1741,61424.79,0.30286,-1409.390736,16385.722,Bissau,11.8624,-15.5832, Guinea-Bissau, Africa,4.8,Top Three Pranks in Celebrity Talk Shows ðŸ˜‚,2024-01-26T23:23:55Z,8281601,119902,424,i will reveal only as much of my reading here as i feel comfortable with,1,https://www.etsy.com/listing/1556137226/baby-shower-word-scramble-with-answer?click_key=3be9c526ceb8e88797f25e0e4d349d6d11475585%3A1556137226&click_sum=6c571682&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-10-2&organic_search_click=1&pro=1&bes=1&sts=1&dd=1,Baby Shower Word Scramble with Answer Key | Baby Shower Games | Baby Shower Word Games | Baby Word Scramble | Editable Template | S1,$3.99,"Feb 9, 2024",ASUS,X1502ZA-EJ953WS,Core i3,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹36,990"
(24107) 1999 VS19,249,0.31,2,MBA (outer),C,9.37,13.87,LCDB  ·  List,AJG,Arthur J. Gallagher & Co.,Financials,64.4,21.05,2.4807138,2.54,70.55,53.63,11968488290,888000000,1.9400215,2.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG,No Country for Old Men,R,122 min,"Crime, Drama, Thriller",8.2,"977,336",$74.28M,4,835355697,25921089,2944,0,2971.922051,-27.92205056,2944,0,-0.107719435,-0.009395284,med,high,3,2,small,low,unacc,07/06/2016 14:37,"$45,732 ","$88,202 ","$105,844 ",Abbott Northwestern Farmers Market,http://www.iatp.org/minimarkets,,,,,800 E 28th St,Minneapolis,Hennepin,Minnesota,,,-93.262901,44.955601,N,N,N,N,N,-,,,,,,,,,,,,,May 26 2010 11:24PM,28/01/2019 11:17,20in Monitor,1.33E+12,"534 Elm St, Atlanta, GA 30301",1,109.99,71.4935,109.99,38.4965,6,Veterans,LFPVetsRate recent,"Labor force participation rate for veterans age 18 to 64, 2015-19",y,0.188,-9.482,10663,-6.053,-3.43,0.645,-5.43,-11.14,-1.91,-0.029550827,LG,15Z90RT-K.AAB8U1,USD,Windows 11 brings y,Ethiopia,ETH,Africa,Eastern Africa,2.255403,0.98688424,27706.20348,26108.37128,1597.832203,319.6203,319.6203,-0.269297,319.6203,Thessaloniki,40.6377,22.9463, Greece, Europe,4.2,à¤›à¤ªà¤°à¤¾ à¤œà¤¿à¤²à¤¾ à¤•à¥‡ à¤à¤• à¤®à¤¾à¤‚ à¤¨à¥‡ à¤à¤• à¤¸à¤¾à¤¥ à¤¤à¥€à¤¨ à¤¬à¤šà¥à¤šà¥‹à¤‚ à¤•à¤¾ à¤œà¤¨à¥à¤® à¤¦à¤¿à¤¯à¤¾ðŸŽ‰#shorts #ytshorts #birthday |,2024-02-07T16:05:53Z,8711783,323360,1292,i went from feeling like i knew what i was doing to feeling completely helpless,0,https://www.etsy.com/listing/1282922669/18k-gold-filled-baby-bracelet-birthstone?click_key=4785fc8dfe5d16cf2ebc8322969461b7dac1a56a%3A1282922669&click_sum=16edc10a&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-10-1&pro=1,"18K Gold Filled Baby Bracelet, Birthstone Bracelet, Kids Bracelet, Girls Bracelet, Baptism Bracelet, Toddler Bracelet, Unisex Baby Bracelet",$22.50+,"Feb 11, 2024",HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"â‚¹66,999"
7509 Gamzatov,249,0.75,3−,Flora,S,5.17,13.6,LCDB  ·  List,AIZ,Assurant Inc,Financials,85.16,33.27,2.5313594,9.08,106.985,85.91,4653993594,0,0.9821866,1.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ,Django Unchained,R,165 min,"Drama, Western",8.4,"1,557,890",$162.81M,3,835355628,25921089,3068,0,2931.588717,136.4112828,3068,0,0.526255987,0.046531521,med,high,3,2,small,med,unacc,4/18/2016 10:33,"$45,515 ","$59,375 ","$88,750 ",Aberdeen Farmers Market,http://www.dakotaflavor.com/category.asp?catid=12,,,,,"2nd Ave., S.E. & S. Lincoln Street",Aberdeen,Brown,South Dakota,,,-98.486603,45.4631,N,N,N,N,N,-,,,,,,,,,,,,,2009,02/01/2019 8:25,Apple Airpods Headphones,9.39E+12,"4 1st St, Los Angeles, CA 90001",1,150,97.5,150,52.5,6,Veterans,LFPVetsRate latest,"Labor force participation rate for veterans age 18 to 64, 2015-19",y,0.26,-2.01,37049,-0.116,-1.894,-0.071,0.36,0.13,-1.31,0.495814896,Lenovo,21FJS05W00,USD,Windows 11 ,Fiji,FJI,Oceania,Melanesia,2.9359145,1.097231,147026.1472,62826.02179,84200.12544,14087.97,8826.66,-316.41856,1559.024,Conakry,9.5091,-13.7115, Guinea, Africa,4.8,Islam means Equality ðŸ•‹ðŸ•Œ|#gaza #palestine #islam #kaaba #muhammad #quran,2024-02-03T09:07:44Z,8495117,547050,11870,i got quite high and started to be really really random and like i didnt feel that awkward with the year s anymore,0,https://www.etsy.com/listing/1445018228/calling-all-party-animals-kid-and-baby?click_key=f5140a8d81ec7b2e964e9f905b36859971982cbc%3A1445018228&click_sum=555501a0&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-10-3&sts=1&dd=1,Calling All Party Animals Kid and Baby Birthday Party Invitation,$15.00,"Jan 5, 2024",HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹49,990"
(39705) 1996 TO18,247.2,0.39,2,Flora,S,2.14,15.52,LCDB  ·  List,T,AT&T Inc,Telecommunication Services,35.57,12.14,5.4156513,4.76,42.7,32.55,2.27E+11,49653000000,1.4083152,1.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T,Children of Men,R,109 min,"Action, Drama, Sci-Fi",7.9,"503,642",$35.55M,3,835355749,25921089,2962,0,2963.255384,-1.255383895,2962,0,-0.004843099,-0.00042365,med,high,3,2,small,high,unacc,3/24/2015 15:17,"$45,290 ","$65,830 ","$79,665 ",Aberdeen Sunday Market,http://www.aberdeensundaymarket.org,Facebook.com/AberdeenSundayMarket,,,,Broadway between Heron & State St,Aberdeen,Grays Harbor,Washington,05/26/2019 to 09/15/2019,Sun: 10:00 AM-3:00 PM;,-123.81641,46.972973,Y,Y,N,Y,Y,-,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,N,4/14/2019 20:55,02/01/2019 8:25,AA Batteries (4-pack),5.54E+12,"4 1st St, Los Angeles, CA 90001",3,3.84,1.92,11.52,5.76,6,Veterans,HighSchOnlyVetsPct recent,"Percent of veterans 25 and over with a high school diploma or GED only, 2015-19",y,-0.383,-0.699,13772,1.125,-1.824,0.317,1.76,1.92,-0.26,0.018258837,ASUS,Q420VA-EVO.I7512,USD,Windows 11 has all the power and,Finland,FIN,Europe,Northern Europe,1.6245887,0.96949929,7455919.731,3777482.904,3678436.827,689670.7,2744.4518,-1257656.6,0.405615,Kathmandu,27.7158,85.3282, Nepal, Asia,4.7,My Happinessâ™¥ï¸ |  Wild Cookbook,2024-02-10T06:55:00Z,8407979,538703,5543,i am saying is im trying to learn what to do when i feel like theres not enough time in one day let alone a whole lifetime to do what is required of me,0,https://www.etsy.com/listing/1296933436/personalized-baby-duffle-bag-monogram?click_key=e70c3200869cad8cac42434b128b6fcd76bbebae%3A1296933436&click_sum=26fc2c0c&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-10-4&sts=1,Personalized Baby Duffle Bag | Monogram Seersucker Baby Bag | Monogrammed Baby Gifts for Boys | Kids Duffel Bag | Monogram Baby Travel Bag,$27.99,"Feb 6, 2024",ASUS,Vivobook 15,Core i3,Windows 11 Home,2 TB,8 GB,39.62 cm (15.6 inch),No,"â‚¹43,534"
(128906) 2004 TR34,247,0.58,2,Themis,C,3.33,15.75,LCDB  ·  List,ADSK,Autodesk Inc,Information Technology,104.81,-77.07,0,-2.61,131.1,81.75,24348294504,-378100000,16.50682,224.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK,Ratatouille,G,111 min,"Animation, Adventure, Comedy",8.1,"741,322",$206.45M,3,835355604,25921089,2934,0,2967.922051,-33.92205056,2934,0,-0.13086661,-0.011429562,med,high,3,2,med,low,unacc,3/24/2015 14:47,"$45,039 ","$80,976 ","$92,042 ",Abilene Farmers Market,,,,,,East 1st & Buckeye St.,Abilene,Dickinson,Kansas,,,-97.213898,38.915298,N,N,N,N,N,-,,,,,,,,,,,,,2009,26/01/2019 18:11,AA Batteries (4-pack),9.99E+12,"632 13th St, Los Angeles, CA 90001",1,3.84,1.92,3.84,1.92,6,Veterans,HighSchOnlyVetsPct latest,"Percent of veterans 25 and over with a high school diploma or GED only, 2015-19",y,0.42,4.117,83768,4.159,-0.042,0.403,3.77,5.02,1.27,1.377254011,Lenovo,83AX0000US,USD,Windows 11 brings back the St,France,FRA,Europe,Western Europe,1.4299569,1.0309912,75176087.85,42614950.73,32561137.12,8599091,160176.34,-218712.8,11933.14398,Sofia,42.7009,23.3182, Bulgaria, Europe,5.2,ÐšÐ¾Ñ‚ Ð²Ð½ÑƒÑ‚Ñ€Ð¸ Ð°ÐºÐ²Ð°Ñ€Ð¸ÑƒÐ¼Ð° ðŸ˜…,2024-02-01T16:02:01Z,7790027,296191,1858,i have a feeling that has to do with the unfortunate fact that our family cat recently passed away,0,https://www.etsy.com/listing/1586198982/embroidered-name-beanie-hat-personalized?click_key=08249a8c8885cbb22238cd5024b88e5b26709958%3A1586198982&click_sum=73b60a58&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sc_gallery-10-2&bes=1,"Embroidered Name Beanie Hat, Personalized Hat for Children, Kids Name Hat, Hat with Monogram, Fall Winter Outerwear, Unisex Toddler Hat",$25.00,"Feb 10, 2024",CHUWI,Hero Book Pro,Celeron Dual Core,Windows 11 Home,256 GB,8 GB,35.81 cm (14.1 inch),No,"â‚¹18,990"
(258476) 2002 AN13,247,0.75,2,MBA (outer),C,2.1,17.12,LCDB  ·  List,ADP,Automatic Data Processing,Information Technology,108.25,29.34,2.2190912,3.85,125.24,95.5,50337702249,2767400000,4.0483294,12.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP,The Lives of Others,R,137 min,"Drama, Mystery, Thriller",8.4,"391,480",$11.29M,3,835355619,25921089,3048,0,3020.588717,27.41128277,3048,0,0.105748963,0.009074815,med,high,3,2,med,med,unacc,03/04/2016 13:51,"$44,692 ","$84,916 ","$108,943 ",Abingdon Farmers Market,http://www.abingdonfarmersmarket.com,https://www.facebook.com/abingdonfarmersmarket,,,,Corner of Remsburg Drive & Cummings St,Abingdon ,Washington,Virginia,04/16/2016 to 11/22/2016,Tue: 3pm-6pm;Sat: 8am-1pm;,-81.977097,36.708935,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,03/02/2016 10:20,21/01/2019 8:46,AAA Batteries (4-pack),4.81E+12,"847 Ridge St, Los Angeles, CA 90001",1,2.99,1.495,2.99,1.495,6,Veterans,HispanicVetsPct recent,"Percent of veterans that are Hispanic or Latino, 2015-19",y,0.059,-2.425,49172,-5.251,2.826,1.302,2.28,-7.9,6.04,0.129264718,ASUS,F1605VA-DS74,USD,"Family, friends, passions, music, creations,",French Polynesia,PYF,Oceania,Polynesia,2.259495,1.097231,135285.0237,65499.66131,69785.3624,10272.72,7244.367,-668.8161,1300.4795,Casey Station,-66.2829,110.5249, Antarctica, Antarctica,4.9,OMG! ðŸ«£ SHE COULDN'T SAVE JAX FROM THE ZOMBIES ðŸ˜© THE AMAZING DIGITAL CIRCUS,2024-02-12T02:18:19Z,8283554,105424,223,i feel a lot less hostile,3,https://www.etsy.com/listing/881976291/personalized-wooden-toy-car-push-car?click_key=846db08a22b9ac7dadb3d419480f2f5d56a953c8%3A881976291&click_sum=a9fc14b3&ga_order=highest_reviews&ga_search_type=all&ga_view_type=gallery&ga_search_query=kids+and+baby&ref=sr_gallery-11-2&organic_search_click=1&pro=1&frs=1,Personalized Wooden Toy car - Push car - Kids Toy - Push car toy for stocking stuffer,$26.25+,"Dec 29, 2023",Lenovo,V15 G3 IAP,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"â‚¹32,840"
